,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
80,,2016.0,9.0,23.0,16.0,12.0,1.0,,,RWANDA:  RISUZI; CONGO:  UKAVU,-2.65,29.06,10.0,4.8,,8.0,1.0,,,,1.0,,1.0,22.0,1.0,,,8.0,1.0,,,,1.0,,1.0,22.0,1.0,,,RWANDA,Africa
81,,2016.0,9.0,28.0,16.0,49.0,1.0,,,NICARAGUA:  LEON,12.442,-86.515,8.0,5.5,4.0,1.0,1.0,,,5.0,1.0,,2.0,6.0,1.0,487.0,3.0,1.0,1.0,,,5.0,1.0,,2.0,6.0,1.0,487.0,3.0,NICARAGUA,North America
82,,2016.0,10.0,1.0,8.0,4.0,33.0,,,"PAKISTAN:  MANSEHRA, NARAN",34.905,73.682,10.0,5.4,2.0,1.0,1.0,,,,2.0,,1.0,,2.0,,,1.0,1.0,,,,2.0,,1.0,,2.0,,,PAKISTAN,Asia
83,,2016.0,10.0,21.0,5.0,8.0,39.0,,,JAPAN:  KURAYOSHI,35.374,133.809,6.0,6.2,6.0,,,,,7.0,1.0,100.0,4.0,2.0,1.0,160.0,3.0,,,,,7.0,1.0,100.0,4.0,2.0,1.0,160.0,3.0,JAPAN,Asia
84,,2016.0,10.0,26.0,19.0,18.0,43.0,,,"ITALY:  VISSO, USSITA",42.956,13.067,10.0,6.1,7.0,1.0,1.0,,,,1.0,,4.0,,,1001.0,4.0,1.0,1.0,,,,1.0,,4.0,,,1001.0,4.0,ITALY,Europe
85,,2016.0,10.0,30.0,6.0,40.0,5.0,,,ITALY: NORCIA,42.84,13.11,9.0,6.6,7.0,2.0,1.0,,,20.0,1.0,200.0,4.0,,1.0,,4.0,2.0,1.0,,,20.0,1.0,200.0,4.0,,1.0,,4.0,ITALY,Europe
86,,2016.0,11.0,7.0,1.0,44.0,7.0,,,OKLAHOMA:  CUSHING,35.988,-96.805,3.0,5.0,6.0,,,,,,1.0,20.0,3.0,,,50.0,1.0,,,,,,1.0,20.0,3.0,,,50.0,1.0,OKLAHOMA,Not found
87,,2016.0,11.0,13.0,11.0,2.0,34.0,5613.0,,NEW ZEALAND:  AMBERLEY,-42.737,173.054,15.0,7.8,8.0,2.0,1.0,,,,,,2.0,,,,1.0,2.0,1.0,,,,,3900.0,4.0,1.0,1.0,,1.0,NEW ZEALAND,Oceania
88,,2016.0,11.0,21.0,20.0,59.0,27.0,5618.0,,JAPAN: NEAR E COAST HONSHU,37.393,141.387,9.0,6.9,7.0,,,,,15.0,1.0,,1.0,,,,,,,,,15.0,1.0,,1.0,,,,,JAPAN,Asia
89,,2016.0,11.0,24.0,18.0,43.0,0.0,5620.0,,NICARAGUA,11.96,-88.835,33.0,6.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,NICARAGUA,North America
